127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-25 17:14:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-25 17:16:13, GET, /start/default/index, HTTP/1.1, 500, 0.080000
127.0.0.1, 2018-04-25 17:16:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/default/ticket/start/127.0.0.1.2018-04-25.17-16-13.02ca1fa6-d820-48f6-8be2-7e8ead009ac6, HTTP/1.1, 200, 1.001000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.096000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-25 17:16:44, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.020000
